1100015;Alta Floresta D'Oeste;alta floresta d'oeste
1100023;Ariquemes;ariquemes
1100031;Cabixi;cabixi
1100049;Cacoal;cacoal
1100056;Cerejeiras;cerejeiras
1100064;Colorado do Oeste;colorado do oeste
1100072;Corumbiara;corumbiara
1100080;Costa Marques;costa marques
1100098;Espigão D'Oeste;espigao d'oeste
1100106;Guajará-Mirim;guajara-mirim
1100114;Jaru;jaru
1100122;Ji-Paraná;ji-parana
1100130;Machadinho D'Oeste;machadinho d'oeste
1100148;Nova Brasilândia D'Oeste;nova brasilandia d'oeste
1100155;Ouro Preto do Oeste;ouro preto do oeste
1100189;Pimenta Bueno;pimenta bueno
1100205;Porto Velho;porto velho
1100254;Presidente Médici;presidente medici
1100262;Rio Crespo;rio crespo
1100288;Rolim de Moura;rolim de moura
1100296;Santa Luzia D'Oeste;santa luzia d'oeste
1100304;Vilhena;vilhena
1100320;São Miguel do Guaporé;sao miguel do guapore
1100338;Nova Mamoré;nova mamore
1100346;Alvorada D'Oeste;alvorada d'oeste
1100379;Alto Alegre dos Parecis;alto alegre dos parecis
1100403;Alto Paraíso;alto paraiso
1100452;Buritis;buritis
1100502;Novo Horizonte do Oeste;novo horizonte do oeste
1100601;Cacaulândia;cacaulandia
1100700;Campo Novo de Rondônia;campo novo de rondonia
1100809;Candeias do Jamari;candeias do jamari
1100908;Castanheiras;castanheiras
1100924;Chupinguaia;chupinguaia
1100940;Cujubim;cujubim
1101005;Governador Jorge Teixeira;governador jorge teixeira
1101104;Itapuã do Oeste;itapua do oeste
1101203;Ministro Andreazza;ministro andreazza
1101302;Mirante da Serra;mirante da serra
1101401;Monte Negro;monte negro
1101435;Nova União;nova uniao
1101450;Parecis;parecis
1101468;Pimenteiras do Oeste;pimenteiras do oeste
1101476;Primavera de Rondônia;primavera de rondonia
1101484;São Felipe D'Oeste;sao felipe d'oeste
1101492;São Francisco do Guaporé;sao francisco do guapore
1101500;Seringueiras;seringueiras
1101559;Teixeirópolis;teixeiropolis
1101609;Theobroma;theobroma
1101708;Urupá;urupa
1101757;Vale do Anari;vale do anari
1101807;Vale do Paraíso;vale do paraiso
1200013;Acrelândia;acrelandia
1200054;Assis Brasil;assis brasil
1200104;Brasiléia;brasileia
1200138;Bujari;bujari
1200179;Capixaba;capixaba
1200203;Cruzeiro do Sul;cruzeiro do sul
1200252;Epitaciolândia;epitaciolandia
1200302;Feijó;feijo
1200328;Jordão;jordao
1200336;Mâncio Lima;mancio lima
1200344;Manoel Urbano;manoel urbano
1200351;Marechal Thaumaturgo;marechal thaumaturgo
1200385;Plácido de Castro;placido de castro
1200393;Porto Walter;porto walter
1200401;Rio Branco;rio branco
1200427;Rodrigues Alves;rodrigues alves
1200435;Santa Rosa do Purus;santa rosa do purus
1200450;Senador Guiomard;senador guiomard
1200500;Sena Madureira;sena madureira
1200609;Tarauacá;tarauaca
1200708;Xapuri;xapuri
1200807;Porto Acre;porto acre
1300029;Alvarães;alvaraes
1300060;Amaturá;amatura
1300086;Anamã;anama
1300102;Anori;anori
1300144;Apuí;apui
1300201;Atalaia do Norte;atalaia do norte
1300300;Autazes;autazes
1300409;Barcelos;barcelos
1300508;Barreirinha;barreirinha
1300607;Benjamin Constant;benjamin constant
1300631;Beruri;beruri
1300680;Boa Vista do Ramos;boa vista do ramos
